nazwa,data_realizacji,czas_realizacji,data_utworzenia,czas_utworzenia,data_ostatniej_aktualizacji,czas_ostatniej_aktualizacji,priorytet,stopień_realizacji,opis,kategoria
Kolokwium analiza,2023-01-12,12:12,2023-01-02,14:21,2023-01-02,14:21,WY,12,,
Kolokwium algebra,2023-01-21,13:12,2023-01-02,14:21,2023-01-02,14:21,WY,32,,Kolokwium
Praca pisemna przedsiebiorczosc,2023-01-23,10:01,2023-01-02,14:22,2023-01-06,21:07,WY,2,,
Napisanie pracy magisterskiej,2023-05-31,12:00,2023-04-25,11:00,2023-05-31,11:45,NI,90,Napisanie pracy magisterskiej,Studia
Napisać esej,2023-05-05,04:00,2023-04-15,12:00,2023-04-20,14:00,NI,95,Napisać esej na temat wpływu technologii na współczesne społeczeństwo,Studia
Przeczytać książkę,2023-06-20,06:00,2023-05-05,12:00,2023-05-10,14:00,NO,80,Przeczytać książkę pt. Czas i wiedza autorstwa Zygmunta Baumana.,Studia
Napisać program,2024-12-12,13:00,2023-06-20,12:00,2023-01-06,21:37,NO,80,Napisać program do obliczania wartości funkcji trygonometrycznych,Informatyka
Napisanie aplikacji webowej,2024-03-01,04:00,2023-07-20,19:00,2023-01-06,22:04,WY,22,Napisanie aplikacji webowej która pozwoli klientom na łatwe zarządzanie swoimi danymi i informacjami,Programowanie
Plan,2023-12-12,12:22,2023-01-06,21:53,2023-01-06,21:53,WY,12,,
Plan alternatywny,2023-12-12,12:22,2023-01-06,21:54,2023-01-06,21:54,WY,23,,
Napisz testy do aplikacji,2024-04-01,12:00,2023-01-06,21:59,2023-01-06,21:59,WY,2,,
A,2023-12-12,12:22,2023-01-06,22:09,2023-01-06,22:09,WY,2,,
Kolejne zadanie,2023-02-11,23:11,2023-01-07,20:58,2023-01-07,20:59,WY,12,,
Nauka,2023-01-12,20:01,2023-01-07,21:12,2023-01-07,21:12,WY,23,,Zad
zrobić zakupy,2023-12-12,12:22,2023-01-10,23:31,2023-01-10,23:31,NO,12,tak,obowiązki
test,2024-12-12,12:11,2023-01-11,00:08,2023-01-11,00:13,NO,23,,
